,image_src.1.100.,price(ETH),price(USD),name,imageCode,currentOwner,amount,transaction_date
1,https://www.larvalabs.com/public/images/cryptopunks/punk0441.png,59.95,200.87K,CryptoPunk 441,441,zymerce.…,"58.20  ($194358),59.95  ($203242),50  ($163984),59.95  ($192704),60.95  ($186446),58  ($181956),58  ($180451),60.95  ($189050),55  ($175993),58.95  ($188488),60.44  ($194591),63.88  ($215428),60  ($204799),60  ($205588),63.50  ($220330),46.46  ($129016),1  ($2799),1  ($2799),46.46  ($131048),44.44  ($118990),19  ($37737),19  ($37737),14.50  ($28799),19.75  ($39227),0.00  ($0.00),0.00  ($0.00),22.20  ($45289),19.95  ($42849),18.95  ($40396),18.95  ($40642),19.95  ($47086),18  ($42483),18  ($42483),18.49  ($44145),21.50  ($71288),21.95  ($72707),19.20  ($41289),19.20  ($41218),19.40  ($41717),19.70  ($42362),18.50  ($39781),18.50  ($39781),19.25  ($41160),21.97  ($39238),<0.01  ($2),21.97  ($41975),22.44  ($39221),20  ($35964),20  ($35790)","Jan 13, 2022,Jan 12, 2022,Jan 12, 2022,Jan 12, 2022,Jan 12, 2022,Jan 12, 2022,Jan 10, 2022,Jan 10, 2022,Jan 09, 2022,Jan 09, 2022,Jan 09, 2022,Jan 08, 2022,Jan 08, 2022,Jan 08, 2022,Jan 08, 2022,Jan 07, 2022,Jan 06, 2022,Jan 06, 2022,Jan 06, 2022,Aug 06, 2021,Aug 06, 2021,Aug 06, 2021,Aug 06, 2021,Aug 05, 2021,Jul 18, 2021,Jul 18, 2021,Jul 18, 2021,Jul 18, 2021,Jul 18, 2021,Jul 13, 2021,Jul 13, 2021,Jul 13, 2021,Jul 12, 2021,Jul 10, 2021,Jul 09, 2021,Jul 09, 2021,Jul 08, 2021,Jul 07, 2021,Jul 07, 2021,Jul 07, 2021,Jul 07, 2021,Jul 07, 2021,May 13, 2021,May 13, 2021,May 12, 2021,May 04, 2021,May 04, 2021,May 04, 2021,May 04, 2021,May 04, 2021,May 04, 2021,May 04, 2021,May 04, 2021,May 04, 2021,May 03, 2021,May 03, 2021,May 03, 2021,May 03, 2021,May 03, 2021,May 03, 2021,May 03, 2021,May 03, 2021,May 03, 2021,Apr 11, 2021,Apr 11, 2021,Apr 11, 2021,Apr 11, 2021,Apr 11, 2021,Apr 11, 2021,Apr 11, 2021,Apr 11, 2021,Apr 11, 2021,Apr 11, 2021,Apr 04, 2021,Apr 04, 2021,Mar 15, 2021,Mar 14, 2021,Mar 13, 2021,Mar 13, 2021,Mar 12, 2021,Mar 12, 2021,Mar 06, 2021,Mar 05, 2021,Feb 04, 2021,Jun 23, 2017"
2,https://www.larvalabs.com/public/images/cryptopunks/punk1482.png,62,207.73K,CryptoPunk 1482,1482,0x91338c,"62  ($209641),59.69  ($201830),59.69  ($201839),56  ($181885),60.69  ($187286),55  ($168922),61.95  ($187124),63  ($201437),56  ($179056),63  ($201980),64  ($213289),69  ($263530),71  ($269161),0.00  ($0.00),0.00  ($0.00),83  ($346065),83  ($385228),71  ($332870),71  ($344161),83  ($402068),86  ($413851),91  ($433861),109  ($382097),76  ($244030),76  ($251327),0.31  ($69),0.31  ($69),0.60  ($114)","Jan 12, 2022,Jan 12, 2022,Jan 12, 2022,Jan 11, 2022,Jan 11, 2022,Jan 10, 2022,Jan 10, 2022,Jan 08, 2022,Jan 08, 2022,Jan 07, 2022,Jan 06, 2022,Jan 04, 2022,Jan 03, 2022,Dec 31, 2021,Dec 31, 2021,Dec 09, 2021,Nov 14, 2021,Nov 10, 2021,Nov 10, 2021,Nov 10, 2021,Nov 08, 2021,Nov 08, 2021,Oct 11, 2021,Aug 24, 2021,Aug 24, 2021,Jul 18, 2017,Jul 18, 2017,Jul 11, 2017"
3,https://www.larvalabs.com/public/images/cryptopunks/punk0548.png,62.5,209.41K,CryptoPunk 548,548,0x231d68,"62.50  ($201999),44.75  ($124267),44.75  ($126225),36.99  ($96679),36.99  ($97543),39.99  ($102347),21.89  ($72581),21.89  ($72581),22.50  ($74604),22.99  ($73376),22.99  ($62770),19  ($49749),22.49  ($57358),19  ($48457),21.99  ($48126),21.50  ($51760),18.90  ($45944),18.90  ($45944),19.48  ($46134),20.40  ($44035),33  ($81503),25  ($51135),17  ($35762),19.99  ($33700),22.99  ($36826),29.49  ($43673),39.99  ($76026)","Jan 12, 2022,Aug 06, 2021,Aug 06, 2021,Aug 05, 2021,Aug 02, 2021,Aug 01, 2021,May 03, 2021,May 03, 2021,May 03, 2021,May 03, 2021,Apr 28, 2021,Apr 28, 2021,Apr 27, 2021,Apr 27, 2021,Apr 24, 2021,Apr 22, 2021,Apr 21, 2021,Apr 21, 2021,Apr 21, 2021,Apr 19, 2021,Apr 15, 2021,Apr 07, 2021,Apr 05, 2021,Mar 27, 2021,Mar 24, 2021,Feb 23, 2021,Feb 18, 2021"
4,https://www.larvalabs.com/public/images/cryptopunks/punk3802.png,63,211.08K,CryptoPunk 3802,3802,bianchiv…,"63  ($211930),67.88  ($259109),71  ($270235),72  ($270450),50  ($204160),66  ($269485),50  ($204454),63.50  ($260521),59.88  ($239109),61  ($243956),77.77  ($306011),90  ($365003),80  ($333644),99.98  ($397339),155  ($665877),133  ($469511),149.89  ($533635),126.66  ($457159),124.12  ($479072),180  ($682675),122.22  ($462912),180.88  ($587160),120.20  ($375531),105.25  ($328824),89.66  ($287986),89  ($288581),90  ($297140),78  ($259718),80.88  ($269634),67.95  ($227759),67.95  ($226174),0.31  ($69),0.31  ($69),0.41  ($93)","Jan 12, 2022,Jan 05, 2022,Jan 03, 2022,Jan 01, 2022,Dec 24, 2021,Dec 24, 2021,Dec 24, 2021,Dec 24, 2021,Dec 22, 2021,Dec 21, 2021,Dec 20, 2021,Dec 10, 2021,Dec 09, 2021,Nov 19, 2021,Oct 29, 2021,Oct 13, 2021,Sep 17, 2021,Sep 16, 2021,Sep 04, 2021,Sep 03, 2021,Sep 02, 2021,Aug 28, 2021,Aug 26, 2021,Aug 26, 2021,Aug 25, 2021,Aug 24, 2021,Aug 24, 2021,Aug 24, 2021,Aug 23, 2021,Aug 23, 2021,Aug 23, 2021,Jul 18, 2017,Jul 18, 2017,Jul 12, 2017"
5,https://www.larvalabs.com/public/images/cryptopunks/punk1915.png,63.5,212.76K,CryptoPunk 1915,1915,0x91338c,"63.50  ($215277),60.95  ($206632),60.95  ($206090),55  ($168922),62.95  ($189231),63  ($201437),56  ($179056),63  ($201980),59  ($201986),59  ($202162),58  ($198735),64  ($231800),68  ($259673),69  ($262716),70  ($262590),0.00  ($0.00),0.00  ($0.00),0.00  ($0.00),0.00  ($0.00),130  ($613162),111  ($376795),111  ($376795),114  ($397614),119  ($411610),144.44  ($509597),93.39  ($339335),93.39  ($330155),99.99  ($391978),118.68  ($462101),110.10  ($357963),110.10  ($356274)","Jan 12, 2022,Jan 12, 2022,Jan 12, 2022,Jan 10, 2022,Jan 08, 2022,Jan 08, 2022,Jan 08, 2022,Jan 07, 2022,Jan 06, 2022,Jan 06, 2022,Jan 06, 2022,Jan 05, 2022,Jan 05, 2022,Jan 03, 2022,Jan 02, 2022,Dec 10, 2021,Dec 10, 2021,Dec 10, 2021,Dec 10, 2021,Dec 01, 2021,Oct 06, 2021,Oct 06, 2021,Oct 06, 2021,Oct 05, 2021,Sep 18, 2021,Sep 16, 2021,Sep 09, 2021,Sep 06, 2021,Sep 04, 2021,Aug 28, 2021,Aug 27, 2021"
6,https://www.larvalabs.com/public/images/cryptopunks/punk7969.png,63.98,214.37K,CryptoPunk 7969,7969,0xad4fa8,"63.98  ($208126),64.98  ($248140),67.49  ($257620),69.49  ($264577),72.51  ($272285),69.42  ($265949),64  ($250128),64  ($254894),62  ($246929),69.42  ($281922),60.98  ($238350),60.98  ($240012),63.97  ($258676),60.02  ($242703),62.99  ($251704),60.02  ($233962),63.99  ($246467),89.99  ($389227),91.99  ($419358),119.99  ($425533),144.99  ($467522),97  ($314662),97  ($311120),25  ($53529),27  ($58264),32  ($53448),32  ($50772),2.75  ($949),2.30  ($796)","Jan 12, 2022,Jan 05, 2022,Jan 05, 2022,Jan 03, 2022,Dec 29, 2021,Dec 28, 2021,Dec 28, 2021,Dec 28, 2021,Dec 28, 2021,Dec 27, 2021,Dec 20, 2021,Dec 18, 2021,Dec 16, 2021,Dec 16, 2021,Dec 15, 2021,Dec 15, 2021,Dec 15, 2021,Nov 23, 2021,Nov 14, 2021,Oct 10, 2021,Aug 28, 2021,Aug 28, 2021,Aug 25, 2021,Apr 11, 2021,Apr 10, 2021,Mar 06, 2021,Feb 25, 2021,Sep 25, 2020,Sep 24, 2020"
7,https://www.larvalabs.com/public/images/cryptopunks/punk2124.png,63.99,214.4K,CryptoPunk 2124,2124,0x51ec89,"58  ($180568),55  ($168922),48  ($152191),48  ($152191),23  ($74710),63.99  ($207177)","Jan 11, 2022,Jan 10, 2022,Jan 10, 2022,Jan 10, 2022,Jan 07, 2022,Jan 07, 2022"
8,https://www.larvalabs.com/public/images/cryptopunks/punk2971.png,64,214.44K,CryptoPunk 2971,2971,0x8b3477,"52  ($168683),52  ($168683),23  ($71504),23  ($72706),64  ($205892),40  ($102428),24.50  ($43730),24.50  ($47869),19.80  ($36543),3.15  ($1114),2  ($678),1.50  ($564),1.50  ($331)","Jan 12, 2022,Jan 12, 2022,Jan 11, 2022,Jan 10, 2022,Jan 07, 2022,Aug 01, 2021,Mar 12, 2021,Feb 21, 2021,Feb 17, 2021,Sep 27, 2020,Sep 23, 2020,Sep 14, 2020,May 29, 2020"
9,https://www.larvalabs.com/public/images/cryptopunks/punk5380.png,64,214.44K,CryptoPunk 5380,5380,laughnco…,"58  ($180568),58  ($186748),64  ($217659),74  ($277604),70  ($281661),150  ($484447),100  ($333500),49.90  ($153529),23.50  ($100200),29.90  ($61515),19.90  ($40752),19.90  ($41134),15.70  ($32452),15.70  ($32361),13  ($25429),14.75  ($28852),13  ($25429),14.75  ($28852),13.50  ($26622),13.50  ($26351),15.50  ($29803),22  ($40403)","Jan 11, 2022,Jan 08, 2022,Jan 06, 2022,Jan 02, 2022,Dec 22, 2021,Aug 30, 2021,Aug 23, 2021,Aug 18, 2021,May 12, 2021,Apr 08, 2021,Apr 08, 2021,Apr 08, 2021,Apr 08, 2021,Apr 08, 2021,Apr 02, 2021,Apr 02, 2021,Apr 02, 2021,Apr 02, 2021,Apr 01, 2021,Apr 01, 2021,Apr 01, 2021,Mar 30, 2021"
10,https://www.larvalabs.com/public/images/cryptopunks/punk3716.png,64.5,216.11K,CryptoPunk 3716,3716,0x51ec89,"52  ($168683),52  ($168683),64.50  ($208370)","Jan 12, 2022,Jan 12, 2022,Jan 11, 2022"
