,name,amount,
1,CryptoPunk 441,58.2,"($194,358)"
2,CryptoPunk 441,59.95,"($203,242)"
3,CryptoPunk 441,50,"($163,984)"
4,CryptoPunk 441,59.95,"($192,704)"
5,CryptoPunk 441,60.95,"($186,446)"
6,CryptoPunk 441,58,"($181,956)"
7,CryptoPunk 441,58,"($180,451)"
8,CryptoPunk 441,60.95,"($189,050)"
9,CryptoPunk 441,55,"($175,993)"
10,CryptoPunk 441,58.95,"($188,488)"
11,CryptoPunk 441,60.44,"($194,591)"
12,CryptoPunk 441,63.88,"($215,428)"
13,CryptoPunk 441,60,"($204,799)"
14,CryptoPunk 441,60,"($205,588)"
15,CryptoPunk 441,63.5,"($220,330)"
16,CryptoPunk 441,46.46,"($129,016)"
17,CryptoPunk 441,1,"($2,799)"
18,CryptoPunk 441,1,"($2,799)"
19,CryptoPunk 441,46.46,"($131,048)"
20,CryptoPunk 441,44.44,"($118,990)"
21,CryptoPunk 441,19,"($37,737)"
22,CryptoPunk 441,19,"($37,737)"
23,CryptoPunk 441,14.5,"($28,799)"
24,CryptoPunk 441,19.75,"($39,227)"
25,CryptoPunk 441,0,$0.00 
26,CryptoPunk 441,0,$0.00 
27,CryptoPunk 441,22.2,"($45,289)"
28,CryptoPunk 441,19.95,"($42,849)"
29,CryptoPunk 441,18.95,"($40,396)"
30,CryptoPunk 441,18.95,"($40,642)"
31,CryptoPunk 441,19.95,"($47,086)"
32,CryptoPunk 441,18,"($42,483)"
33,CryptoPunk 441,18,"($42,483)"
34,CryptoPunk 441,18.49,"($44,145)"
35,CryptoPunk 441,21.5,"($71,288)"
36,CryptoPunk 441,21.95,"($72,707)"
37,CryptoPunk 441,19.2,"($41,289)"
38,CryptoPunk 441,19.2,"($41,218)"
39,CryptoPunk 441,19.4,"($41,717)"
40,CryptoPunk 441,19.7,"($42,362)"
41,CryptoPunk 441,18.5,"($39,781)"
42,CryptoPunk 441,18.5,"($39,781)"
43,CryptoPunk 441,19.25,"($41,160)"
44,CryptoPunk 441,21.97,"($39,238)"
45,CryptoPunk 441,0.01,($2)
46,CryptoPunk 441,21.97,"($41,975)"
47,CryptoPunk 441,22.44,"($39,221)"
48,CryptoPunk 441,20,"($35,964)"
49,CryptoPunk 441,20,"($35,790)"
50,CryptoPunk 1482,62,"($209,641)"
51,CryptoPunk 1482,59.69,"($201,830)"
52,CryptoPunk 1482,59.69,"($201,839)"
53,CryptoPunk 1482,56,"($181,885)"
54,CryptoPunk 1482,60.69,"($187,286)"
55,CryptoPunk 1482,55,"($168,922)"
56,CryptoPunk 1482,61.95,"($187,124)"
57,CryptoPunk 1482,63,"($201,437)"
58,CryptoPunk 1482,56,"($179,056)"
59,CryptoPunk 1482,63,"($201,980)"
60,CryptoPunk 1482,64,"($213,289)"
61,CryptoPunk 1482,69,"($263,530)"
62,CryptoPunk 1482,71,"($269,161)"
63,CryptoPunk 1482,0,$0.00 
64,CryptoPunk 1482,0,$0.00 
65,CryptoPunk 1482,83,"($346,065)"
66,CryptoPunk 1482,83,"($385,228)"
67,CryptoPunk 1482,71,"($332,870)"
68,CryptoPunk 1482,71,"($344,161)"
69,CryptoPunk 1482,83,"($402,068)"
70,CryptoPunk 1482,86,"($413,851)"
71,CryptoPunk 1482,91,"($433,861)"
72,CryptoPunk 1482,109,"($382,097)"
73,CryptoPunk 1482,76,"($244,030)"
74,CryptoPunk 1482,76,"($251,327)"
75,CryptoPunk 1482,0.31,($69)
76,CryptoPunk 1482,0.31,($69)
77,CryptoPunk 1482,0.6,($114)
78,CryptoPunk 548,62.5,"($201,999)"
79,CryptoPunk 548,44.75,"($124,267)"
80,CryptoPunk 548,44.75,"($126,225)"
81,CryptoPunk 548,36.99,"($96,679)"
82,CryptoPunk 548,36.99,"($97,543)"
83,CryptoPunk 548,39.99,"($102,347)"
84,CryptoPunk 548,21.89,"($72,581)"
85,CryptoPunk 548,21.89,"($72,581)"
86,CryptoPunk 548,22.5,"($74,604)"
87,CryptoPunk 548,22.99,"($73,376)"
88,CryptoPunk 548,22.99,"($62,770)"
89,CryptoPunk 548,19,"($49,749)"
90,CryptoPunk 548,22.49,"($57,358)"
91,CryptoPunk 548,19,"($48,457)"
92,CryptoPunk 548,21.99,"($48,126)"
93,CryptoPunk 548,21.5,"($51,760)"
94,CryptoPunk 548,18.9,"($45,944)"
95,CryptoPunk 548,18.9,"($45,944)"
96,CryptoPunk 548,19.48,"($46,134)"
97,CryptoPunk 548,20.4,"($44,035)"
98,CryptoPunk 548,33,"($81,503)"
99,CryptoPunk 548,25,"($51,135)"
100,CryptoPunk 548,17,"($35,762)"
101,CryptoPunk 548,19.99,"($33,700)"
102,CryptoPunk 548,22.99,"($36,826)"
103,CryptoPunk 548,29.49,"($43,673)"
104,CryptoPunk 548,39.99,"($76,026)"
105,CryptoPunk 3802,63,"($211,930)"
106,CryptoPunk 3802,67.88,"($259,109)"
107,CryptoPunk 3802,71,"($270,235)"
108,CryptoPunk 3802,72,"($270,450)"
109,CryptoPunk 3802,50,"($204,160)"
110,CryptoPunk 3802,66,"($269,485)"
111,CryptoPunk 3802,50,"($204,454)"
112,CryptoPunk 3802,63.5,"($260,521)"
113,CryptoPunk 3802,59.88,"($239,109)"
114,CryptoPunk 3802,61,"($243,956)"
115,CryptoPunk 3802,77.77,"($306,011)"
116,CryptoPunk 3802,90,"($365,003)"
